出演回,初回放送,放送内容,種類,ユニット回,マンスリーMC,ゲスト,欠席,公式配信URL,後半,備考
331,2025/04/22(火) 23:00,渋谷をジャックしたアイドルたち,,,岡咲美保,北原沙弥香・紫月杏朱彩,,https://asobichannel.asobistore.jp/watch/t39gxs06vof,,マンスリーMC：岡咲美保、ゲスト：北原沙弥香・紫月杏朱彩 #市川雛菜のHBTK
332,2025/04/29(火) 23:00,ノクチル、5年間の愛しき日々,,ノクチル,岡咲美保,和久井優・土屋李央・田嶌紗蘭,,https://asobichannel.asobistore.jp/watch/du9xn91gnc,,マンスリーMC：岡咲美保、ゲスト：和久井優・土屋李央・田嶌紗蘭 #市川雛菜のHBTK
333,2025/05/06(火) 23:00,でもこれ⋯っ！”パラレル”なんだよなぁ～！,,,山根綺,結名美月・小澤麗那,,https://asobichannel.asobistore.jp/watch/dn484kjogdr,,マンスリーMC：山根綺、ゲスト：結名美月・小澤麗那 #緋田美琴のHBTK
334,2025/05/13(火) 23:00,人間の成長劇だよね,,,山根綺,菅沼千紗,,https://asobichannel.asobistore.jp/watch/37d71n68w4o,,マンスリーMC：山根綺、ゲスト：菅沼千紗 #緋田美琴のHBTK
335,2025/05/20(火) 23:00,銀河みたい、、、、、！,,,山根綺,田中有紀・永井真里子,,https://asobichannel.asobistore.jp/watch/t6wfw5emda,,マンスリーMC：山根綺、ゲスト：田中有紀・永井真里子 #緋田美琴のHBTK
336,2025/05/27(火) 23:00,半分以上、にちかが関わっている⋯！,,シーズ,山根綺,紫月杏朱彩,,https://asobichannel.asobistore.jp/watch/w8fgu2rpx1,,マンスリーMC：山根綺、ゲスト：紫月杏朱彩 #緋田美琴のHBTK
337,2025/06/03(火) 23:00,ここをパワースポットとする,,,希水しお,河野ひより・前川涼子,,https://asobichannel.asobistore.jp/watch/w8kkvexqd2b,,マンスリーMC：希水しお、ゲスト：前川涼子・河野ひより / #三峰結華のHBTK
338,2025/06/10(火) 23:00,このコミュ、審議です！,,,希水しお,峯田茉優,,https://asobichannel.asobistore.jp/watch/iqeojco06,,マンスリーMC：希水しお、ゲスト：峯田茉優 / #三峰結華のHBTK
339,2025/06/17(火) 23:00,フレミング左手の法則,,アンティーカ,希水しお,礒部花凜・八巻アンナ・結名美月,菅沼千沙,https://asobichannel.asobistore.jp/watch/8wlur6ry9kml,,マンスリーMC：希水しお、ゲスト：礒部花凜・八巻アンナ・結名美月 / #三峰結華のHBTK
340,2025/06/27(金) 19:00,円環福岡振り返り生配信,生配信,,希水しお,山根綺,,https://asobichannel.asobistore.jp/watch/mkbzecwe2,,生配信 / #三峰結華のHBTK
341,2025/07/01(火) 23:00,”蹴り”好きすぎない？,,,北原沙弥香,,,https://asobichannel.asobistore.jp/watch/5kwut8bgy,,マンスリーMC：北原沙弥香 / #和泉愛依のHBTK
342,2025/07/10(木) 18:00,円環横浜振り返り生配信,生配信,,北原沙弥香,永井真里子,,https://asobichannel.asobistore.jp/watch/2r7ivgxjk,,生配信 / #和泉愛依のHBTK
343,2025/07/15(火) 23:00,円環先輩からのアドバイス,,,北原沙弥香,和久井優・三川華月,,https://asobichannel.asobistore.jp/watch/syvezp8ja4,,マンスリーMC：北原沙弥香、ゲスト：和久井優・三川華月 / #和泉愛依のHBTK
344,2025/07/22(火) 23:00,トップアイドルとは,,ストレイライト,北原沙弥香,田中有紀・幸村恵理,,https://asobichannel.asobistore.jp/watch/mki18frzosyi,,マンスリーMC：北原沙弥香、ゲスト：田中有紀・幸村恵理 / ※7/29は休止、次回は8/5
345,2025/08/05(火) 23:00,アルスト、まだまだ味するぜ！,,,黒木ほの香,,,https://asobichannel.asobistore.jp/watch/y1fmwrsdwm,,マンスリーMC：黒木ほの香 #大崎甘奈のHBTK
346,2025/08/15(金) 19:00,円環愛知振り返り生配信,生配信,,黒木ほの香,小澤麗那,,https://asobichannel.asobistore.jp/watch/d41yjm5t9v1l,,生配信 / #大崎甘奈のHBTK
347,2025/08/19(火) 23:00,MCにオチをつけてくれる人たち,,,黒木ほの香,丸岡和佳奈・結名美月,,https://asobichannel.asobistore.jp/watch/x8ydsdk4j3c,,マンスリーMC：黒木ほの香、ゲスト：丸岡和佳奈・結名美月 #大崎甘奈のHBTK
348,2025/08/26(火) 23:00,パーフェクトなラジオってなにぃ～泣,,アルストロメリア,黒木ほの香,前川涼子・芝崎典子,,https://asobichannel.asobistore.jp/watch/do1sxu6uzhg,,マンスリーMC：黒木ほの香、ゲスト：前川涼子・芝崎典子 #大崎甘奈のHBTK
349,2025/09/02(火) 23:00,透がしっかりお仕事している…！,,,和久井優,,,https://asobichannel.asobistore.jp/watch/ihyczyfnmma7,,マンスリーMC：和久井優 #浅倉透のHBTK
350,2025/09/09(火) 23:00,保冷剤巻き付けよ！,,,和久井優,礒部花凜・北原沙弥香,,https://asobichannel.asobistore.jp/watch/sb4vbwpmc20n,,マンスリーMC：和久井優、ゲスト：礒部花凜・北原沙弥香 #浅倉透のHBTK
351,2025/09/16(火) 23:00,普段、台本に書き込みってする？,,,和久井優,菅沼千紗,,https://asobichannel.asobistore.jp/watch/hi34qmr4s,,マンスリーMC：和久井優、ゲスト：菅沼千紗 #浅倉透のHBTK
352,2025/09/23(火) 23:00,幸せになってよ、みんな,,ノクチル,和久井優,土屋李央・田嶌紗蘭,岡咲美保,https://asobichannel.asobistore.jp/watch/t2iza54oz85y,,マンスリーMC：和久井優、ゲスト：土屋李央・田嶌紗蘭 #浅倉透のHBTK
353,2025/10/02(木) 19:00,円環青森振り返り生配信,生配信,,和久井優,関根瞳,,https://asobichannel.asobistore.jp/watch/wprqxisec,,生配信 / マンスリーMC：和久井優、ゲスト：関根瞳 #浅倉透のHBTK
354,2025/10/07(火) 23:00,ルカ、丸くなったねぇ～,,,川口莉奈,,,https://asobichannel.asobistore.jp/watch/evfdutkon8z,,マンスリーMC：川口莉奈 #斑鳩ルカのHBTK
355,2025/10/14(火) 23:00,優しい店員さんのアシスト,,,川口莉奈,前川涼子・幸村恵理,,https://asobichannel.asobistore.jp/watch/8vsx3k637,,マンスリーMC：川口莉奈、ゲスト：前川涼子・幸村恵理 #斑鳩ルカのHBTK
