Column 7,楽曲名,アルバム,リリース日,歌唱者,enza実装,シャニソン実装,歓声追加,ソロ歌唱,歌い分け,定点＆縦画面,シャニソン周期,視点追加,MV公開,ソロコレ,ソロコレ発売日,ユニット版収録,初収録CDソロ歌唱
13,Ambitious Eve,FR@GMENT WING 01,2019/04/10,シャイニーカラーズ,2019/03/22,2024/05/14,,2026/06/20,2024/05/14,2026/5/31,既存2週目,2026/5/31,,,,FR@GMENT WING 各ユニット盤（3曲目・各ユニットVer.）,
14,いつか Shiny Days,FR@GMENT WING 01,2019/04/10,シャイニーカラーズ,2019/03/29,2024/06/14,,,2024/06/14,2026/5/31,既存2週目,2026/5/31,,,,,
15,We can go now!,FR@GMENT WING 02,2019/05/08,イルミネーションスターズ,2019/04/12,2023/11/22,,2026/06/20,2024/11/10,,既存2週目,,,-SPRING PARTY 2020-,2020/03/21,,
16,トライアングル,FR@GMENT WING 02,2019/05/08,イルミネーションスターズ,2019/04/25,,,,,,,,,-2ndLIVE STEP INTO THE SUNSET SKY-,2020/07/29,,
17,NEO THEORY FANTASY,FR@GMENT WING 03,2019/06/12,アンティーカ,2019/05/13,2023/12/08,,2026/06/20,2024/11/10,,既存2週目,,,-SPRING PARTY 2020-,2020/03/21,,
18,ラビリンス・レジスタンス,FR@GMENT WING 03,2019/06/12,アンティーカ,2019/06/07,,,,,,,,,-2ndLIVE STEP INTO THE SUNSET SKY-,2020/07/29,,
19,ビーチブレイバー,FR@GMENT WING 04,2019/07/10,放課後クライマックスガールズ,2019/06/10,2024/01/11,,2026/01/21,2024/8/9,,既存2週目,,,-SPRING PARTY 2020-,2020/03/21,,
20,よりみちサンセット,FR@GMENT WING 04,2019/07/10,放課後クライマックスガールズ,2019/06/25,,,,,,,,,-2ndLIVE STEP INTO THE SUNSET SKY-,2020/07/29,,
21,Bloomy!,FR@GMENT WING 05,2019/08/21,アルストロメリア,2019/06/21,2024/02/09,,2026/01/21,2024/8/9,,既存2週目,,,-SPRING PARTY 2020-,2020/03/21,,
22,Love Addiction,FR@GMENT WING 05,2019/08/21,アルストロメリア,2019/07/02,,,,,,,,,-2ndLIVE STEP INTO THE SUNSET SKY-,2020/07/29,,
23,Wandering Dream Chaser,FR@GMENT WING 06,2019/09/11,ストレイライト,2019/04/09,2023/11/14,,,2024/5/14,,既存1週目,,,-SPRING PARTY 2020-,2020/03/21,,
24,Transcending The World,FR@GMENT WING 06,2019/09/11,ストレイライト,2019/08/26,,,,,,,,,-2ndLIVE STEP INTO THE SUNSET SKY-,2020/07/29,,
25,FUTURITY SMILE,FUTURITY SMILE,2019/12/18,シャイニーカラーズ,2020/12/09,,,,,,,,,-M@STERS OF IDOL WORLD 2025 part1-,2025/12/13,,
26,SWEET♡STEP,SWEET♡STEP,2020/02/12,シャイニーカラーズ,2021/01/12,2025/02/10,,,2025/02/10,2026/1/21,,,,-シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 part1-,2026/02/14,,
27,シャイノグラフィ,GR@DATE WING 01,2020/04/08,シャイニーカラーズ,2021/03/22,2025/05/09,,2026/01/21,2025/05/09,2025/12/18,既存3週目,,,,,GR@DATE WING 各ユニット盤（3曲目・各ユニットVer.）,
28,Dye the sky.,GR@DATE WING 01,2020/04/08,シャイニーカラーズ,2021/04/03,2025/06/10,,,2025/06/10,2025/06/10,既存3週目,,,,,,
29,絶対正義 EVERY DAY,デビ太郎 VS ジャスティスV,2020/07/29,小宮果穂,2021/12/10,,,,,,,,,,,,
30,デビ太郎のうた,デビ太郎 VS ジャスティスV,2020/07/29,大崎甜花,2021/12/10,,,,,,,,,,,,
31,Hide & Attack,GR@DATE WING 06,2020/08/19,ストレイライト,2020/07/21,2024/03/08,,2026/06/20,2024/8/9,,,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
32,Destined Rival,GR@DATE WING 06,2020/08/19,ストレイライト,2020/07/31,,,,,,,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
33,いつだって僕らは,GR@DATE WING 07,2020/09/16,ノクチル,2020/04/12,2023/11/14,,,2024/5/14,,既存1週目,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
34,あの花のように,GR@DATE WING 07,2020/09/16,ノクチル,2020/08/21,,,,,,,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
35,なんどでも笑おう,なんどでも笑おう,2020/09/30,櫻木真乃;風野灯織;八宮めぐる,2021/01/31,,,,,,,,,,,,なんどでも笑おう：初収録CDにキャラクターVer.収録
36,Twinkle way,GR@DATE WING 02,2020/10/14,イルミネーションスターズ,2020/04/15,2024/07/09,,,2026/06/10,,既存3週目,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
37,Happy Funny Lucky,GR@DATE WING 02,2020/10/14,イルミネーションスターズ,2020/09/23,,,,,,,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
38,Black Reverie,GR@DATE WING 03,2020/11/04,アンティーカ,2020/10/12,2024/08/10,,,2026/06/10,,既存3週目,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
39,純白トロイメライ,GR@DATE WING 03,2020/11/04,アンティーカ,2020/10/21,2025/08/27,,,,,既存2DMV1週目,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
40,五ツ座流星群,GR@DATE WING 04,2020/11/18,放課後クライマックスガールズ,2020/10/31,2024/09/10,,,2026/06/10,,既存3週目,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
41,学祭革命夜明け前,GR@DATE WING 04,2020/11/18,放課後クライマックスガールズ,2020/11/10,,,,,,,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
42,ダブル・イフェクト,GR@DATE WING 05,2020/12/09,アルストロメリア,2020/11/20,2024/11/10,,,2026/06/10,,既存3週目,,,-3rdLIVE TOUR PIECE ON PLANET / TOKYO-,2021/04/21,,
43,Anniversary,GR@DATE WING 05,2020/12/09,アルストロメリア,2020/11/25,,,,,,,,,-3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-,2021/05/29,,
44,プラニスフィア ～planisphere～,COLORFUL FE@THERS -Stella-,2021/01/20,Team.Stella,2021/01/08,,,,,,,,,-SOLO PERFORMANCE LIVE 我儘なまま Stella-,2023/07/22,,
45,ありったけの輝きで,COLORFUL FE@THERS -Stella-,2021/01/20,櫻木真乃,2020/12/18,2023/11/14,,,,,,,,,,,
46,星をめざして,COLORFUL FE@THERS -Stella-,2021/01/20,芹沢あさひ,2021/01/04,2023/11/14,,,,,,,,,,,
47,夢見鳥,COLORFUL FE@THERS -Stella-,2021/01/20,樋口円香,2021/01/01,2023/11/24,,,,,,,,,,,
48,アポイント・シグナル,COLORFUL FE@THERS -Stella-,2021/01/20,月岡恋鐘,2020/12/28,2023/11/14,,,,,,,,,,,
49,チョコデート・サンデー,COLORFUL FE@THERS -Stella-,2021/01/20,園田智代子,2020/12/22,2024/02/14,,,,,,,,,,,
50,Sweet Memories,COLORFUL FE@THERS -Stella-,2021/01/20,大崎甘奈,2020/12/25,2023/11/14,,,,,,,,,,,
51,ハナマルバッジ,COLORFUL FE@THERS -Stella-,2021/01/20,小宮果穂,2020/12/28,2023/11/14,,,,,,,,,,,
52,リフレクトサイン,COLORFUL FE@THERS -Luna-,2021/02/17,Team.Luna,2021/02/04,,,,,,,,,-SOLO PERFORMANCE LIVE 我儘なまま Luna-,2023/07/22,,
53,誰ソ彼アイデンティティー,COLORFUL FE@THERS -Luna-,2021/02/17,田中摩美々,2021/01/12,2024/06/20,,,,,,,,,,,
54,わたしの主人公はわたしだから！,COLORFUL FE@THERS -Luna-,2021/02/17,福丸小糸,2021/01/19,2025/03/21,,,,,,,,,,,
55,また明日,COLORFUL FE@THERS -Luna-,2021/02/17,大崎甜花,2021/01/12,2024/08/21,,,,,,,,,,,
56,常咲の庭,COLORFUL FE@THERS -Luna-,2021/02/17,杜野凛世,2021/01/23,2024/01/19,,,,,,,,,,,
57,プラスチック・アンブレラ,COLORFUL FE@THERS -Luna-,2021/02/17,三峰結華,2021/01/16,2024/10/21,,,,,,,,,,,
58,Going my way,COLORFUL FE@THERS -Luna-,2021/02/17,和泉愛依,2021/01/31,2024/12/20,,,,,,,,,,,
59,雪・月・風・花,COLORFUL FE@THERS -Luna-,2021/02/17,幽谷霧子,2021/01/27,2024/04/19,,,,,,,,,,,
60,スローモーション,COLORFUL FE@THERS -Luna-,2021/02/17,風野灯織,2021/01/31,2025/06/20,,,,,,,,,,,
61,千夜アリア,COLORFUL FE@THERS -Sol-,2021/03/10,白瀬咲耶,2021/02/28,2025/04/21,,,,,,,,,,,
62,Damascus Cocktail,COLORFUL FE@THERS -Sol-,2021/03/10,有栖川夏葉,2021/02/08,2025/01/20,,,,,,,,,,,
63,Darling you!,COLORFUL FE@THERS -Sol-,2021/03/10,桑山千雪,2021/02/28,2024/03/19,,,,,,,,,,,
64,あおぞらサイダー,COLORFUL FE@THERS -Sol-,2021/03/10,市川雛菜,2021/02/12,2024/09/20,,,,,,,,,,,
65,SOS,COLORFUL FE@THERS -Sol-,2021/03/10,黛冬優子,2021/02/20,2023/12/15,,,,,,,,,,,
66,過純性ブリーチ,COLORFUL FE@THERS -Sol-,2021/03/10,西城樹里,2021/02/24,2025/07/20,,,,,,,,,,,
67,HAREBARE!!,COLORFUL FE@THERS -Sol-,2021/03/10,八宮めぐる,2021/02/08,2024/05/24,,,,,,,,,,,
68,statice,COLORFUL FE@THERS -Sol-,2021/03/10,浅倉透,2021/02/16,2023/11/14,,,,,,,,,,,
69,SOLAR WAY,COLORFUL FE@THERS -Sol-,2021/03/10,Team.Sol,2021/03/05,,,,,,,,,-SOLO PERFORMANCE LIVE 我儘なまま Sol-,2023/07/22,,
70,Resonance⁺,L@YERED WING 01,2021/04/14,シャイニーカラーズ,2021/03/21,2026/05/09,,,2026/05/09,2026/5/31,既存4週目,2026/5/31,,,,L@YERED WING 各ユニット盤（3曲目・各ユニットVer.）,
71,Color Days,L@YERED WING 01,2021/04/14,シャイニーカラーズ,2021/04/04,2026/06/20,,,,,既存4週目,,,,,,
72,PRISISM,L@YERED WING 02,2021/05/19,イルミネーションスターズ,2021/04/25,2025/10/10,,,,,既存4週目,,,-L@YERED WING part 1-,2022/02/14,,
73,スマイルシンフォニア,L@YERED WING 02,2021/05/19,イルミネーションスターズ,2021/05/06,2025/10/21,,,,,既存2DMV1週目,,,-L@YERED WING part 2-,2022/02/14,,
74,abyss of conflict,L@YERED WING 03,2021/06/09,アンティーカ,2021/05/10,2026/03/10,,,,,既存4週目,,,-L@YERED WING part 1-,2022/02/14,,
75,革命進化論,L@YERED WING 03,2021/06/09,アンティーカ,2021/05/24,,,,,,,,,-L@YERED WING part 2-,2022/02/14,,
76,クライマックスアイランド,L@YERED WING 04,2021/07/14,放課後クライマックスガールズ,2021/06/21,2025/08/11,,,,,既存4週目,,,-L@YERED WING part 1-,2022/02/14,,
77,拝啓タイムカプセル,L@YERED WING 04,2021/07/14,放課後クライマックスガールズ,2021/06/28,,,,,,,,,-L@YERED WING part 2-,2022/02/14,,
78,VOY@GER,VOY@GER,2021/08/04,有栖川夏葉;黛冬優子;浅倉透,,2024/02/26,,2026/01/21,2024/02/26,2026/1/21,,,,,,,VOY@GER：初収録CDにキャラクターVer.収録
79,パステルカラー パスカラカラー,L@YERED WING 05,2021/08/18,アルストロメリア,2021/07/19,2025/09/10,,,,,既存4週目,,,-L@YERED WING part 1-,2022/02/14,,
80,ラブ・ボナペティート,L@YERED WING 05,2021/08/18,アルストロメリア,2021/07/31,,,,,,,,,-L@YERED WING part 2-,2022/02/14,,
81,Another Rampage,L@YERED WING 06,2021/09/08,ストレイライト,2021/08/10,2025/03/10,2026/05/20,,2026/08/21,,,,,-L@YERED WING part 1-,2022/02/14,,
82,Timeless Shooting Star,L@YERED WING 06,2021/09/08,ストレイライト,2021/08/20,2025/04/10,,,,,既存2DMV1週目,,,-L@YERED WING part 2-,2022/02/14,,
83,僕らだけの未来の空,L@YERED WING 07,2021/10/13,ノクチル,2021/09/10,2024/04/09,,2026/01/21,2024/8/9,,既存2週目,,,-L@YERED WING part 1-,2022/02/14,,
84,今しかない瞬間を,L@YERED WING 07,2021/10/13,ノクチル,2021/09/21,,,,,,,,,-L@YERED WING part 2-,2022/02/14,,
85,OH MY GOD,L@YERED WING 08,2021/11/10,シーズ,2021/04/08,2023/11/14,,,2024/5/14,,既存1週目,,,-L@YERED WING part 1-,2022/02/14,,
86,Fly and Fly,L@YERED WING 08,2021/11/10,シーズ,2021/09/25,2025/09/20,,,,,既存2DMV1週目,,,-L@YERED WING part 2-,2022/02/14,,
