回	放送内容	初回放送
出演：イルミネーションスターズ	2020/08/18(火) 18:00	
108	Pたんだったりする？	
出演：アンティーカ	2020/08/25(火) 18:00	
109	得意な科目スキップ	
出演：アルストロメリア	2020/09/01(火) 18:00	
110	ワラデューサーの肌ツヤがよくなった	
出演：放課後クライマックスガールズ	2020/09/08(火) 18:00	
111	最高がエベレスト	
出演：ストレイライト	2020/09/15(火) 18:00	
112	動画回 みんなマジ感謝って感じです	
出演：ノクチル	2020/09/29(火) 18:00	
113	いろんな感情にひたれやがれ	
出演：イルミネーションスターズ	2020/10/06(火) 18:00	
114	おなじようなもんでしょ	
出演：アンティーカ	2020/10/13(火) 18:00	
ASOBISTORE EXPO出張版		
出演：峯田茉優、八巻アンナ、永井真里子、芝崎典子、北原沙弥香、田嶌紗蘭 #アソビストアエキスポ	2020/10/17(土) 21:30	
制作スタッフインタビュー ＠ ASOBISTORE EXPO		
出演：吉澤正悟(PLUS音)、葉多野拓郎(放送作家) #アソビストアエキスポ		
収録配信	2020/10/18(日) 16:30	
115	動画回	
出演：アルストロメリア	2020/10/20(火) 18:00	
116	みんなドーン？	
出演：放課後クライマックスガールズ ※白石晴香はスケジュール都合で欠席	2020/10/27(火) 18:00	
117	出演：ストレイライト	2020/11/03(火) 18:00
118	自分の翼で飛びたいんじゃ	
出演：ノクチル	2020/11/10(火) 18:00	
119	動画回 illumination STARS	
出演：イルミネーションスターズ	2020/11/17(火) 18:00	
120	練習の成果です	
出演：アンティーカ	2020/11/24(火) 18:00	
121	出演：アルストロメリア	2020/12/01(火) 18:00
122	動画回 私ってベイビーだったんだな	
出演：放課後クライマックスガールズ		
「MAPLUSキャラdeナビ」樹里・夏葉ver.の紹介あり	2020/12/08(火) 18:00	
123	ストレイライトにしか見せちゃダメ！	
出演：ストレイライト	2020/12/15(火) 18:00	
124	ノクチル、満面の笑みでございます	
出演：ノクチル	2020/12/22(火) 18:00	
125	おいでよ、長野に！	
出演：イルミネーションスターズ	2021/01/05(火) 18:00	
126	動画回 我に力を！右手っ！	
出演：アンティーカ	2021/01/12(火) 18:00	
127	忘れっちゃった、喋るの…	
出演：アルストロメリア	2021/01/19(火) 18:00	
128	忖度をお願いします	
出演：放課後クライマックスガールズ		
アステラス製薬×バンナム「パックマン・スクワットチャレンジ」連動企画あり https://abc.asobistore.jp/	2021/01/26(火) 18:00	
129	大人になっちゃうの…？	
出演：ストレイライト	2021/02/02(火) 18:00	
130	動画回 お前が握るんだよ！	
出演：ノクチル	2021/02/09(火) 18:00	
131	いつも間違えるってみんな知ってるでしょ	
出演：イルミネーションスターズ	2021/02/16(火) 18:00	
132	出版いたしますわ	
出演：アンティーカ	2021/02/23(火) 18:00	
133	せーの、みだり！？	
出演：アルストロメリア	2021/03/02(火) 18:00	
134	マ、マ、マダガスカル？	
出演：放課後クライマックスガールズ	2021/03/09(火) 18:00	
135	動画回 教えて、アンティーカ！	
出演：ストレイライト	2021/03/16(火) 18:00	
136	ノクチル、フルネームで呼びがち	
出演：ノクチル ※岡咲美保が欠席	2021/03/23(火) 18:00	
137	特別生配信	
出演：イルミネーションスターズ #シャニラジ生配信	2021/03/30(火) 20:00	
138	出演: SHHis	2021/04/06(火) 18:00
139	愛着どころじゃない。普段着	
出演：イルミネーションスターズ	2021/04/13(火) 18:00	
140	みんなさ、座れていいね！	
出演：アンティーカ	2021/04/20(火) 18:00	
141	動画回 差し入れ届いたよ～	
出演：アルストロメリア	2021/04/27(火) 18:00	
142	動画回 私はもうみなさんの言うことは聞きません！	
出演：放課後クライマックスガールズ	2021/05/11(火) 18:00	
143	おはようございま～す♪（目がマジ）	
出演：ストレイライト	2021/05/18(火) 18:00	
144	寂しくなんてないんだからね！	
出演：ノクチル	2021/05/25(火) 18:00	
145	動画回 っえぇぇぇ！？（独り言）	
出演: SHHis	2021/06/01(火) 18:00	
146	また泣きそうになっちゃうじゃん！	
出演：イルミネーションスターズ	2021/06/08(火) 18:00	
147	私がヒザ神で瑠奈がヒザ神	
出演：アンティーカ	2021/06/15(火) 18:00	
148	あの3つの指輪を救ってくれ…！	
出演：アルストロメリア	2021/06/22(火) 18:00	
149	みんながステキって言ってくれたから、私は今見て欲しいんだ	
出演：放課後クライマックスガールズ	2021/06/29(火) 18:00	
150	あんたどんな仕事持ってきてんのよ！	
出演：ストレイライト	2021/07/06(火) 18:00	
151	やめよう、フラグだよそれ	
出演：ノクチル	2021/07/13(火) 18:00	
152	こういうのいけたりすんの？	
出演: SHHis	2021/07/20(火) 18:00	
153	動画回 八宮めぐるお誕生日おめでとうございます	
出演：イルミネーションスターズ	2021/07/27(火) 18:00	
154	動画回 すごく大きいイチゴじゃないか	
出演：アンティーカ	2021/08/03(火) 18:00	
155	比較的大きな卵がありまして…	
出演：アルストロメリア	2021/08/10(火) 18:00	
156	間違いないね！	
出演：放課後クライマックスガールズ	2021/08/17(火) 18:00	
157	ストレイライトは健康です	
出演：ストレイライト	2021/08/24(火) 18:00	
158	「いつだって僕らは」だよ！？	
出演：ノクチル	2021/08/31(火) 18:00	
159	うん…見えるね…	
出演: SHHis	2021/09/07(火) 18:00	
160	それもうフフーフッフーじゃん	
出演：イルミネーションスターズ	2021/09/14(火) 18:00	
161	ご家族、誰かマジシャンだったりする……？	
出演：アンティーカ ※成海瑠奈は欠席	2021/09/21(火) 18:00	
162	動画回 ぽのぽ。ノリストロメリア。がんもどき。	
出演：アルストロメリア	2021/09/28(火) 18:00	
163	ズッキュン！踊ってるの見たい！！	
出演：放課後クライマックスガールズ	2021/10/05(火) 18:00	
164	はーー今年1番笑った！	
出演：ストレイライト	2021/10/12(火) 18:00	
165	動画回 任せてよリズム！自由にやるから！	
