放送内容,分類,出演者,初回放送,告知サイト,まとめ,お知らせまとめ2,お知らせまとめ3,アーカイブ
アイドル横丁夏まつり‼︎ 〜2018〜 1日目 AIS -All Idol Songs-,外部イベント,"AIS -All Idol Songs-、eyes(ダンスボーカルユニット)、赤の流星、アキシブproject、Appare!(天晴れ！原宿)、maleficium(ex.Aphrodite)、amiinA、あゆみくりかまき、Ange☆Reve、uijin、A応P、AKB48 Team 8、絵恋ちゃん、ExWHYZ(ex.EMPiRE)、ゑんら、奥澤村、会心ノ一撃、幽世脅嚇(KAQRIYOTERROR,幽世テロルArchitect)、KATA☆CHU、GANG PARADE(ex.POP)、QUEENS、CROWN POP、969、劇場版ゴキゲン帝国∞、＊ココロモヨヲ＊、CY8ER、G☆Girls、Shine Fine Movement、さきどり発進局(さきどり発信局)、ukka(ex.桜エビ～ず)、サクヤコノハナ、サンドリオン、Jewel☆Mare(Jewel☆Neige)、Jewel☆Rouge、SANDAL TELEPHONE(ex.終演後物販卍)、純情のアフィリア、CYNHN、SUPER☆GiRLS、3B junior、SAY-LA、There There Theres、SolaSound、sora tob sakana、Task have Fun、Chu☆Oh!Dolly、つりビット、ENGAG.ING、寺嶋由芙、Devil ANTHEM.、東京CuteCute、東京パフォーマンスドール、2o Love to Sweet Bullet、虹のコンキスタドール、26時のマスカレイド、NEO JAPONISM、Party Rockets GT、でか美ちゃん、パクスプエラ(pax puella)、はちみつロケット、ハッピーくるくる、HAMIDASYSTEM、PiiiiiiiN、PiXMiX、フィロソフィーのダンス、FES☆TIVE、predia、マジカル・パンチライン、マジェスティックセブン、MIGMA SHELTER、ミルクス本物、MEY(@JAMナビゲーターユニット)、monogatari、モリワキユイ from Yamakatsu、ヤなことそっとミュート、Yamakatsu(山口活性学園)、やるっきゃガールズ、夢みるアドレセンス、Good Tears、Someday Somewhere、シュークリームロケッツ、Love Cocchi、LaLuce、愛乙女☆DOLL、リーフシトロン、RYUKYU IDOL、Luce Twinkle Wink☆、READY TO KISS、我儘ラキア、板山紗織、詩之本めぐみ(錦織めぐみ)、桧垣果穂、深沢紗希、宇佐美幸乃、永堀ゆめ(永堀夢乃)、七瀬れあ、藤宮めい(丸山めい)、成実みく、朝比奈れい、東雲しの、中江早紀(Saki/中江さき)、黒木ほの香、小山百代、汐入あすか、会沢紗弥、小峯愛未、成海瑠奈、佐々木璃花、松脇朱里、吉橋亜理砂、水野結愛、さいごうみずき、権田夏海、水湊いづき(桜井ゆい)、涼掛凛、中川梨来、松田あゆな、倉田かすみ、和田帆乃夏、青山玲奈、有沢美矢(有沢美亜)、星野白花、桜羽那奈、眞城ゆうか、大崎瑠衣、春野絵美莉、城崎桃華、五十嵐彩伽、愛迫みゆ、佐野友里子、日向春菜、太田里織菜、佐倉みき、安藤笑、滝口ひかり、滝口きらら、みいらみさと/木乃伊みさと(三嵜みさと)、来栖りん、大門果琳、吉井美優、森みはる、江嶋綾恵梨、松本ももな、長月翠、小澤愛実、阿部菜々実、大石夏摘、安田愛里、鈴木遥夏、高橋真由、相澤瑠香、朝日花奈、池松愛理、間島和奏、猪子れいあ、籾山ひめり、山田まひろ、清原梨央、木村美咲、山本愛梨、中村守里、大森莉緒、西村歩乃果、石川夏海、tipToe.、綾瀬志希、百瀬怜、青柳透、桜坂真愛、月雲ねる、崎乃奏音、超ときめき♡宣伝部、宮谷優恵、計良日向子、田口未彩、るーるる(小此木流花)、津代美月、星乃まひろ、真白里帆(白桜里帆/真城里帆)、福山梨乃、永瀬かのん(森下かのん)、菅野芹那、辻村美月、大部萌衣、吉川結理、旭優奈(葛山優奈)、工藤ひなき、小嶋凛、堤雪菜、巴奎依、春咲暖、広瀬ゆうき、星希成奏、吉野ひかり、花宮ことり、木花萌、咲舞のどか、荻野可鈴、志田友美、小林れい(小林玲)、京佳、山口はのん、水無瀬ゆき、山下彩耶、恋甘犬るる(橘はるか/恋羽咲るる)、ディア☆、天羽希純(小松きすみ)、マホ・ソット・ボーチェ、寺坂ユミ、廣島みずき(望月ミイミ)、鶴見萌、沖口優奈、☆NonSugar、梅山涼、栗野春香、奈良怜那、松樹侑奈、白岡今日花、熊澤風花、里仲菜月、メイビーME、能登谷このん、日南りと(一ノ瀬りと/夏目りと)、くれあ(MEWM)、木内ゆうか、金子なつき、広川つむぎ、青葉ひなり、宇咲(柊宇咲)、春川桃菜、牧野広実、佐々木美帆(ex.READY TO KISS)、清川麗奈、上原歩子、竹内さりあ(真野彩里愛)、土光瑠璃子、水瀬ぴあの(白石ぴあの)、水湊まり花(南茉莉花)、近藤沙瑛子(宇崎さえ子)、大空美月、一之瀬夢、伏見りほ(伏見莉穂)、新城真衣、三田佳凛、山広美保子、藤野志穂、りのあ、神城ののか、なるの、つきの、橘莉子(ex.charm*charm)、橘咲希、紫咲なお(橘南桜)、百瀬るう(朝比奈るう)、羽深芽生、URUMU、RIHO(QUEENS)、NANAMI、EMIRY、RINA(QUEENS)、MAHO、澤田樹、渋川紗有実、藤崎くるみ、谷乃愛、檜山奈南果、新居睦実、水野瞳(瞳)、水島あいり(竹本あいり)、安藤楓、橋本侑芽、的場華鈴、片岡未優(木崎未優)、中村朱里、大和明桜、隈本茉莉奈、芹澤もあ、村星りじゅ、川瀬あやめ、岡田彩夢、清水理子、茜空、根本凪、蛭田愛梨、山崎夏菜、水映、桜井美里、LADYBABY、白幡いちほ、先斗ぺろ、紫乃ありす、HARUKA(Party Rockets GT)、NANASE(Party Rockets GT)、吉高彩笑、AYUMI(Party Rockets GT)、あゆみ(あゆみくりかまき)、まき(あゆみくりかまき)、くりか(あゆみくりかまき)、桜子、沢口けいこ、松本ルナ、水野まい、林弓束、岡村明奈、湊あかね、村上瑠美奈、青山玲子、まえだゆう、美希あすか、前田イブ、原口みなみ、那須ほほみ、黒田かれん、りみ(SOL)、岩渕ひな、朝倉みずほ、カイ(There There Theres)、レーレ(MIGMA SHELTER)(有坂玲菜)、小島ノエ、平澤芽衣、長谷川瑞、竹内夏紀、藤水咲桜(安藤咲桜)、小西杏優、聞間彩、渡邉ひかる、宮崎理奈、溝手るか、浅川梨奈、内村莉彩、渡邉幸愛、石橋蛍、阿部夢梨、長尾しおり、唐沢風花、金子理江、池田菜々、有馬えみり、長島凜、渡部麗那、鈴木千夏、浜崎香帆、橘二葉、脇あかり、櫻井紗季、上西星来、高嶋菜七、ありぃ(uijin)、橘ひと美(ひとちび)、おおいたりん(uijin)、やよい(uijin)、峰島こまき(山下花奈)、森のんの、藤沢泉美、天原瑠理、みーみ(mi-mi)、森咲のどか、相谷レイナ(相谷麗菜)、海羽凜、L(川﨑怜奈)、星熊南巫、竹越くるみ、yu-ki(YU-Ki EMPiRE)、mayu(MAYU EMPiRE)、midoriko(MiDORiKO EMPiRE)、mikina(MiKiNA EMPiRE)、now(NOW EMPiRE)、YUKA EMPiRE、YUiNA EMPiRE、倉野真帆、大島遥華(ハルカ・スッキャネン)、村上はるか(村上遼華/ムラカーミ・ノ・神)、加藤真侑、白石友梨、村瀬めぐ(市川あかり)、水谷真菜、寺口夏花、神﨑風花、山崎愛(sora tob sakana)、風間玲マライカ、ラストアイドル1期生、三田美吹、里菜、田中咲帆、山本花織、藤田愛理、雪月心愛、穂村ゆうか、小鳩りあ、天野真里亞(天野まりあ)、天猫なの(あまね)、愛川こずえ、渚カオリ、葉山カナ、桜田あんな、雨森セラ、ミルモ・D・ポン、東城アミナ、夏目ベール、優希クロエ",2018-07-07 10:00,https://www.eventernote.com/events/153996,,,,
A&Gサタデーライブ！(7月7日 2018年 第3回),外部イベント,福尾美佳、岩﨑千明、荒井杏子、乃並なの、松田裕市、湊元りょう、青原未来、井上奈菜、草本夏明、涼本あきほ、峯田茉優,2018/07/07(土) 13:00,http://www.agqr.jp/topics/archives/post_1103.php,,,,
A&Gサタデーライブ！(7月7日 2018年 第3回) せぞん立ち合い販売会,外部イベント,草本夏明、涼本あきほ、峯田茉優,2018/07/07(土) 14:15,http://www.agqr.jp/topics/archives/post_1103.php,,,,
アイドルマスター シャイニーカラーズ生配信～アルストロメリア初登場！双子姉妹と幸せの女神SP～,シャニマス生配信,"黒木ほの香, 前川涼子, 芝崎典子, 坂上陽三, 高山祐介",2018/07/11(水) 21:00,https://idolmaster.jp/blog/?p=45563,https://idolmaster.jp/blog/?p=45951,,,
アイドルマスター13周年記念ニコ生～13th Anniversary P@rty!!!!!～,ブランド合同生配信,"関根瞳, 近藤玲奈, 峯田茉優, その他",2018/07/25(水) 20:00,https://idolmaster.jp/blog/?p=46127,https://idolmaster.jp/blog/?p=46394,,,
こえよせ〜温泉宴会型声優寄席〜 和多田美咲,外部イベント,和多田美咲、髙橋麻里、前田佳織里、サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、鈴木健太(元アナウンサー)、木村千咲、涼本あきほ、立花芽恵夢、峯田茉優、天津飯大郎、温泉むすめ,2018-07-28 11:30,https://www.eventernote.com/events/161465,,,,
町田店をいつもご利用いただきありがとうございます！スペシャル感謝Day サンドリオン1日店長イベント 1回目 黒木ほの香,外部イベント,黒木ほの香、成海瑠奈、汐入あすか,2018-07-29 13:30,https://www.eventernote.com/events/168589,,,,
SAN☆SUNふぇす2018~祭りだ『わ』っしょい！~ サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、会沢紗弥,2018-08-11 14:00,https://www.eventernote.com/events/152918,,,,
アイドルマスター シャイニーカラーズ生配信 ～放課後クライマックスガールズ初出演！五色の個性が大爆発SP～,シャニマス生配信,"河野ひより, 白石晴香, 永井真里子, 丸岡和佳奈, 涼本あきほ, 坂上陽三, 高山祐介",2018/08/23(木) 20:00,https://idolmaster.jp/blog/?p=47340,https://idolmaster.jp/blog/?p=48066,,,
サンドリ・オン・ステージ〜嫌よ18よも好きのうち〜 サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、会沢紗弥、小山百代、汐入あすか、成海瑠奈,2018-09-17 18:00,https://www.eventernote.com/events/173252,,,,
