アルバム名,公式詳細ページ,画像URL,ジャケット画像ファイル
"THE IDOLM@STERシリーズ イメージソング2021「VOY@GER」【シャイニーカラーズ盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-24165/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24165.jpg","LACM-24165.jpg"
"神様は死んだ、って","https://shinycolors.lantis.jp/releaseinfo/lzc-2059/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LZC-2059-1.jpg","LZC-2059-1.jpg"
"THE IDOLM@STER SHINY COLORS B☆Health","https://shinycolors.lantis.jp/releaseinfo/lacz-10112/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/08/LACZ-10112.jpg","LACZ-10112.jpg"
"THE IDOLM@STER SHINY COLORS Shiny Stories","https://shinycolors.lantis.jp/releaseinfo/lzc-2403/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/05/LZC-2403.jpg","LZC-2403.jpg"
"THE IDOLM@STER SHINY COLORS Shiny Stories","https://shinycolors.lantis.jp/releaseinfo/lacm-24406/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LACM-24406.jpg","LACM-24406.jpg"
"無自覚アプリオリ","https://shinycolors.lantis.jp/releaseinfo/lzc-2489/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/09/LZC-2489.jpg","LZC-2489.jpg"
"くだらないや","https://shinycolors.lantis.jp/releaseinfo/lzc-2562/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/10/LZC-2562.jpg","LZC-2562.jpg"
"平行線の美学","https://shinycolors.lantis.jp/releaseinfo/lzc-2563/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/10/LZC-2563.jpg","LZC-2563.jpg"
"ホムラインビテーション","https://shinycolors.lantis.jp/releaseinfo/lzc-2730/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/04/LZC-2730.jpg","LZC-2730.jpg"
"『アイドルマスター』シリーズ 20周年記念曲 「アイ NEED YOU（FOR WONDERFUL STORY）」【シャイニーカラーズ盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-24643/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/07/LACM-24643.jpg","LACM-24643.jpg"
"THE IDOLM@STER SHINY COLORS 乱舞る / 疾風ザブングル【初回限定盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-34808/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/12/LACM-34808.jpg","LACM-34808.jpg"
"THE IDOLM@STER SHINY COLORS 乱舞る / 疾風ザブングル【通常盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-24808/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/12/LACM-24808.jpg","LACM-24808.jpg"
"283 Production MUSICAL Performance 騎士団のヴェール – Veil of Order – Music Collection【初回限定盤】","https://shinycolors.lantis.jp/releaseinfo/laca-35264/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/03/LACA-35264_5.jpg","LACA-35264_5.jpg"
"283 Production MUSICAL Performance 騎士団のヴェール – Veil of Order – Music Collection【通常盤】","https://shinycolors.lantis.jp/releaseinfo/laca-25264/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/03/LACA-25264.jpg","LACA-25264.jpg"
"THE IDOLM@STER SHINY COLORS シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 -Stella-","https://shinycolors.lantis.jp/releaseinfo/lacz-10335/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/01/LACZ-10335.jpg","LACZ-10335.jpg"
"THE IDOLM@STER SHINY COLORS シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 -Luna-","https://shinycolors.lantis.jp/releaseinfo/lacz-10336/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/01/LACZ-10336.jpg","LACZ-10336.jpg"
"THE IDOLM@STER SHINY COLORS シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 -Sol-","https://shinycolors.lantis.jp/releaseinfo/lacz-10337/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/01/LACZ-10337.jpg","LACZ-10337.jpg"
"283 Production XXXX Performance XXX= S/N-GUL4R1TY MUSIC COLLECTION【初回限定盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-34828/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/04/LACM-34828.jpg","LACM-34828.jpg"
"283 Production XXXX Performance XXX= S/N-GUL4R1TY MUSIC COLLECTION【通常盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-24828/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/04/LACM-24828.jpg","LACM-24828.jpg"
"「THE IDOLM@STER SHINY COLORS 1stLIVE FLY TO THE SHINY SKY」Blu-ray","https://shinycolors.lantis.jp/releaseinfo/labx-8376_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-8376_7.jpg","LABX-8376_7.jpg"
"「THE IDOLM@STER SHINY COLORS MUSIC DAWN」Blu-ray 【初回生産限定版】","https://shinycolors.lantis.jp/releaseinfo/labx-38463_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-38463_7.jpg","LABX-38463_7.jpg"
"「THE IDOLM@STER SHINY COLORS MUSIC DAWN」Blu-ray 【通常版DAY1】","https://shinycolors.lantis.jp/releaseinfo/labx-8463_4/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-8463_4.jpg","LABX-8463_4.jpg"
"「THE IDOLM@STER SHINY COLORS MUSIC DAWN」Blu-ray 【通常版DAY2】","https://shinycolors.lantis.jp/releaseinfo/labx-8465_6/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-8465_6.jpg","LABX-8465_6.jpg"
"「THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY」Blu-ray 【初回生産限定版】","https://shinycolors.lantis.jp/releaseinfo/labx-38512_6/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-38512_6s.jpg","LABX-38512_6s.jpg"
"「THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY」Blu-ray 【通常版DAY1】","https://shinycolors.lantis.jp/releaseinfo/labx-8512_3/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-8512_3.jpg","LABX-8512_3.jpg"
"「THE IDOLM@STER SHINY COLORS 2ndLIVE STEP INTO THE SUNSET SKY」Blu-ray 【通常版DAY2】","https://shinycolors.lantis.jp/releaseinfo/labx-8514_5/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LABX-8514_5.jpg","LABX-8514_5.jpg"
"「THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / NAGOYA」Blu-ray","https://shinycolors.lantis.jp/releaseinfo/labx-8542_4/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/01/LABX-8542_44.jpg","LABX-8542_44.jpg"
"「THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / TOKYO」Blu-ray","https://shinycolors.lantis.jp/releaseinfo/labx-8545_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/01/LABX-8545_47.jpg","LABX-8545_47.jpg"
"「THE IDOLM@STER SHINY COLORS 3rdLIVE TOUR PIECE ON PLANET / FUKUOKA」Blu-ray","https://shinycolors.lantis.jp/releaseinfo/labx-8548_50/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/01/LABX-8548_50.jpg","LABX-8548_50.jpg"
"「THE IDOLM@STER SHINY COLORS 4thLIVE 空は澄み、今を越えて。」Blu-ray 【初回生産限定版】","https://shinycolors.lantis.jp/releaseinfo/labx-38629_33/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/08/LABX-38629_33.jpg","LABX-38629_33.jpg"
"「THE IDOLM@STER SHINY COLORS 4thLIVE 空は澄み、今を越えて。」Blu-ray 【通常版DAY1】","https://shinycolors.lantis.jp/releaseinfo/labx-8629_30/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/08/LABX-8629_30.jpg","LABX-8629_30.jpg"
"「THE IDOLM@STER SHINY COLORS 4thLIVE 空は澄み、今を越えて。」Blu-ray 【通常版DAY2】","https://shinycolors.lantis.jp/releaseinfo/labx-8631_32/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2022/08/LABX-8631_32.jpg","LABX-8631_32.jpg"
"「THE IDOLM@STER SHINY COLORS 5thLIVE If I_wings.」Blu-ray【初回生産限定版】","https://shinycolors.lantis.jp/releaseinfo/labx-38704_8/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LABX-38704_8.jpg","LABX-38704_8.jpg"
"「THE IDOLM@STER SHINY COLORS 5thLIVE If I_wings.」Blu-ray【通常版DAY1】","https://shinycolors.lantis.jp/releaseinfo/labx-8704_5/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LABX-8704_5.jpg","LABX-8704_5.jpg"
"「THE IDOLM@STER SHINY COLORS 5thLIVE If I_wings.」Blu-ray【通常版DAY2】","https://shinycolors.lantis.jp/releaseinfo/labx-8706_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LABX-8706_7.jpg","LABX-8706_7.jpg"
